"","treated1","treated2","treated3","untreated1","untreated2","untreated3","untreated4"
"FBgn0045862",1398,919,994,1000,1944,843,854
"FBgn0039840",3,3,2,1,1,1,3
"FBgn0037369",547,269,264,317,465,143,173
"FBgn0050476",240,66,83,137,235,52,74
"FBgn0034601",4,0,3,4,10,1,2
"FBgn0028675",334,151,177,155,368,141,139
"FBgn0052445",11,6,8,6,16,5,6
"FBgn0035344",53,30,28,117,199,78,77
"FBgn0016978",1333,859,838,1068,1847,880,916
"FBgn0036947",0,0,0,1,0,0,0
"FBgn0037342",577,293,323,476,686,241,281
"FBgn0004898",0,0,0,0,0,0,0
"FBgn0034849",502,299,371,428,342,223,260
"FBgn0003023",29,11,19,11,29,14,23
"FBgn0024985",1159,591,589,868,1494,552,529
"FBgn0030615",134,57,49,79,142,60,60
"FBgn0004644",5,2,4,4,11,5,5
"FBgn0011787",1233,595,656,886,1461,441,576
"FBgn0040532",19,8,6,22,27,8,7
"FBgn0013348",5,2,0,2,2,1,1
"FBgn0011938",0,0,0,0,0,0,0
"FBgn0038400",2909,1472,1582,1847,3432,1125,1433
"FBgn0259731",0,0,0,0,0,0,0
"FBgn0023529",10095,4219,4575,6120,13260,3988,4631
"FBgn0032538",2,3,0,0,4,0,0
"FBgn0031773",265,144,163,154,292,111,116
"FBgn0259961",0,0,0,0,1,0,0
"FBgn0083967",0,0,0,0,0,0,0
"FBgn0028992",1329,439,497,780,1092,369,427
"FBgn0027106",0,3,1,2,3,1,0
"FBgn0086027",6,0,0,0,15,0,0
"FBgn0052370",0,0,0,0,0,0,1
"FBgn0002021",478,206,246,309,463,158,191
"FBgn0004449",3462,1859,1753,2598,4496,1877,1744
"FBgn0032755",0,0,1,0,1,1,0
"FBgn0024889",1055,523,594,764,1251,375,482
"FBgn0038063",8,4,2,4,10,3,6
"FBgn0030354",2623,1442,1585,2225,3387,1383,1509
"FBgn0003091",3,1,3,2,13,4,2
"FBgn0036872",3,0,0,0,2,0,0
"FBgn0037472",378,211,196,263,358,153,199
"FBgn0004368",2872,1693,1850,2250,2841,1201,1267
"FBgn0050419",0,0,1,0,1,0,0
"FBgn0016984",4020,2003,2108,2916,4599,1748,1904
"FBgn0035009",0,0,0,0,0,0,0
"FBgn0003089",15,5,7,4,18,13,9
"FBgn0035700",0,0,0,0,0,0,0
"FBgn0030824",1,0,0,0,1,1,0
"FBgn0035077",8,13,19,11,19,11,6
"FBgn0042146",0,0,0,0,0,0,0
"FBgn0032210",734,183,215,492,871,202,268
"FBgn0034809",0,0,1,0,1,0,0
"FBgn0261552",4233,1335,1394,7022,16750,5224,4760
"FBgn0029756",219,125,123,209,253,102,117
"FBgn0038585",711,375,380,605,912,290,409
"FBgn0259935",91,56,58,30,45,26,18
"FBgn0039923",2235,483,418,1391,1778,513,469
"FBgn0053419",0,0,0,0,0,0,0
"FBgn0053907",2,0,0,0,0,0,0
"FBgn0032040",1699,895,1052,962,1537,652,791
"FBgn0004369",1049,420,474,1033,1873,738,738
"FBgn0038603",16,10,9,33,41,21,17
"FBgn0033380",592,305,338,423,734,244,320
"FBgn0030852",64,20,25,30,75,15,11
"FBgn0036134",1614,795,980,1372,2097,814,868
"FBgn0038629",16,9,10,5,10,3,2
"FBgn0261535",939,455,517,861,1121,414,488
"FBgn0029727",0,0,0,0,0,0,0
"FBgn0033599",0,0,0,0,0,0,0
"FBgn0039110",1157,891,948,982,1303,590,773
"FBgn0032132",0,0,0,0,0,0,0
"FBgn0035434",1,1,0,1,2,1,1
"FBgn0052743",4548,2812,2685,3947,5171,2526,2383
"FBgn0053276",133,28,27,51,150,36,29
"FBgn0024360",312,219,191,244,320,149,172
"FBgn0035604",0,0,0,0,0,0,0
"FBgn0029518",2,2,2,4,7,2,1
"FBgn0038869",607,383,392,548,812,322,444
"FBgn0033348",331,152,131,208,320,105,130
"FBgn0259147",1,1,1,2,5,2,4
"FBgn0003302",99,59,58,72,181,70,58
"FBgn0031421",454,239,283,312,429,167,187
"FBgn0020299",10,3,2,8,21,3,5
"FBgn0044011",1,0,0,0,0,0,0
"FBgn0034572",944,419,453,629,1042,378,447
"FBgn0041247",0,0,0,0,0,0,0
"FBgn0038915",0,0,0,0,0,0,0
"FBgn0026080",720,348,415,531,914,301,379
"FBgn0033515",0,0,0,0,0,0,0
"FBgn0036984",195,81,117,74,137,57,68
"FBgn0030793",745,406,454,544,815,315,434
"FBgn0036652",8,7,8,6,15,4,6
"FBgn0053289",0,0,0,0,0,0,0
"FBgn0260439",10423,5074,5407,7629,10755,4227,4844
"FBgn0030887",4,0,1,2,3,3,0
"FBgn0051473",1,4,3,4,3,0,3
"FBgn0260986",542,323,306,396,656,227,317
"FBgn0015562",1036,482,576,651,993,311,377
"FBgn0250822",0,0,0,0,0,0,0
"FBgn0032526",0,0,0,0,0,0,0
"FBgn0083008",1,0,0,0,0,0,0
"FBgn0085253",0,0,0,0,0,0,0
"FBgn0010225",17497,7960,8403,15301,26008,9522,11947
"FBgn0038404",11,3,11,5,8,5,4
"FBgn0051221",12,5,4,6,8,1,2
"FBgn0030410",145,86,116,121,167,68,68
"FBgn0011703",4308,1799,2013,3562,4889,1735,1951
"FBgn0028893",0,0,0,0,0,0,1
"FBgn0039924",876,183,225,526,733,195,227
"FBgn0031431",0,0,0,0,0,0,0
"FBgn0038110",766,405,464,635,747,290,368
"FBgn0034706",35,20,15,21,44,20,19
"FBgn0052333",0,1,1,1,1,1,0
"FBgn0031266",2179,1057,1063,1642,2496,988,1029
"FBgn0031398",188,68,96,105,200,50,75
"FBgn0038686",610,334,347,472,699,296,300
"FBgn0086448",207,38,47,113,123,23,40
"FBgn0031446",0,1,0,2,1,1,0
"FBgn0035253",4754,2739,3015,2128,6430,2546,2663
"FBgn0032457",1,1,2,0,0,0,3
"FBgn0053500",0,0,0,0,0,0,0
"FBgn0032413",2,0,0,0,2,0,0
"FBgn0040352",2,0,1,0,3,0,0
"FBgn0029131",1707,965,1095,1691,2220,1019,1122
"FBgn0004921",3559,1400,1341,2723,4377,1170,1441
"FBgn0028526",8,0,0,2,2,2,1
"FBgn0085193",0,0,0,0,0,0,0
"FBgn0030842",1909,1015,1052,953,2327,1077,916
"FBgn0039966",151,65,50,124,169,66,82
"FBgn0029914",525,284,298,383,606,211,281
"FBgn0033999",0,0,1,0,2,0,0
"FBgn0033369",0,0,0,0,0,0,0
"FBgn0259682",21,8,10,10,29,15,13
"FBgn0032916",557,247,271,449,673,177,232
"FBgn0036044",0,0,1,0,0,0,0
"FBgn0003057",0,0,0,0,1,0,0
"FBgn0052009",9,1,2,5,2,2,1
"FBgn0000568",5275,2659,2729,2549,7702,3323,2825
"FBgn0031324",0,0,0,0,0,0,0
"FBgn0086671",2,0,1,9,5,1,1
"FBgn0031766",0,0,0,0,1,0,0
"FBgn0086066",0,0,0,0,0,0,0
"FBgn0004896",12,4,2,6,17,8,5
"FBgn0029857",799,465,554,707,1054,413,528
"FBgn0003034",0,0,0,0,1,0,0
"FBgn0030360",63,21,18,28,37,17,18
"FBgn0030812",2815,1599,1564,2028,3735,1553,1575
"FBgn0036566",5000,2284,2267,3857,4772,1970,2093
"FBgn0035068",0,0,0,0,0,0,0
"FBgn0015000",1367,691,779,1122,1658,563,733
"FBgn0038032",0,0,0,0,0,0,0
"FBgn0040336",493,303,303,546,528,250,300
"FBgn0002891",1845,864,926,946,1611,625,634
"FBgn0034579",252,106,117,151,202,55,77
"FBgn0051867",0,0,0,0,0,0,0
"FBgn0025574",883,373,350,357,733,234,239
"FBgn0037144",60,29,56,94,79,39,47
"FBgn0046828",0,0,0,0,0,0,0
"FBgn0037230",23,8,11,7,24,9,9
"FBgn0053404",0,0,0,0,0,0,0
"FBgn0036365",1616,942,970,966,1600,629,719
"FBgn0011556",0,0,0,0,0,0,0
"FBgn0031701",1,1,0,0,1,0,1
"FBgn0035085",245,135,150,1176,1579,651,785
"FBgn0040256",179,67,68,109,169,67,80
"FBgn0035542",513,269,329,348,1470,578,538
"FBgn0039449",425,240,221,318,485,187,222
"FBgn0033190",76,32,54,40,78,29,38
"FBgn0052246",2,1,2,0,2,2,0
"FBgn0036589",0,0,0,0,0,0,0
"FBgn0002069",6017,3385,3717,3977,6005,2542,3217
"FBgn0260777",1,1,0,0,0,0,0
"FBgn0010425",0,0,0,0,0,0,0
"FBgn0035325",4,1,5,2,1,0,1
"FBgn0031268",318,111,135,124,156,65,64
"FBgn0037827",0,0,0,0,0,0,0
"FBgn0035089",16,6,7,10,17,2,5
"FBgn0037205",927,384,387,695,1020,346,371
"FBgn0004878",11,2,2,5,6,4,3
"FBgn0033365",1,1,0,1,1,3,0
"FBgn0005536",5947,3136,3273,4426,6851,2877,2834
"FBgn0035524",867,331,416,637,1247,336,453
"FBgn0053849",0,0,0,0,0,0,0
"FBgn0032276",0,0,0,0,0,0,0
"FBgn0011705",3547,1095,1186,2130,2734,1009,1080
"FBgn0052036",41,22,18,36,38,15,16
"FBgn0036972",1,1,2,2,1,0,0
"FBgn0050025",0,0,0,0,0,0,0
"FBgn0032006",19411,10985,11114,13593,19822,8042,8581
"FBgn0259918",36,25,21,24,34,17,28
"FBgn0038126",0,1,1,0,0,1,0
"FBgn0042125",61,41,49,36,53,34,43
"FBgn0034187",113,58,44,55,117,33,40
"FBgn0039039",1,0,0,0,2,1,0
"FBgn0037756",5699,1992,2345,3079,6210,1687,2243
"FBgn0035765",1331,591,621,449,816,242,254
"FBgn0065100",1,0,1,1,8,1,1
"FBgn0032117",233,82,95,186,186,79,83
"FBgn0085296",1,1,1,0,2,1,0
"FBgn0038673",265,108,92,159,284,75,85
"FBgn0067709",1,0,1,0,0,0,0
"FBgn0030739",571,270,258,432,602,205,254
"FBgn0032261",196,115,126,149,245,93,102
"FBgn0030030",289,101,100,189,290,82,119
"FBgn0036906",115,33,24,67,91,25,32
"FBgn0259932",0,0,0,0,0,0,0
"FBgn0032192",87,37,22,57,94,25,30
"FBgn0086355",6533,4556,5067,3609,4875,2328,2576
"FBgn0041606",16,5,3,0,8,4,1
"FBgn0024285",2828,1768,1934,2097,3624,1516,1734
"FBgn0086663",7,2,2,2,5,1,2
"FBgn0033101",1138,756,714,826,1139,520,577
"FBgn0085304",1,0,2,0,1,0,0
"FBgn0032045",2,1,2,2,7,2,1
"FBgn0034366",492,185,216,311,365,131,141
"FBgn0037881",1212,712,849,1041,1474,614,744
"FBgn0036091",7,3,3,5,5,2,4
"FBgn0034361",283,193,247,212,301,143,178
"FBgn0032780",154,32,36,135,299,36,57
"FBgn0004028",16,5,8,9,6,4,7
"FBgn0046294",0,0,0,0,1,0,0
"FBgn0029752",3,0,0,0,1,0,1
"FBgn0260394",0,0,0,0,0,0,0
"FBgn0027109",0,0,0,0,0,0,0
"FBgn0046685",1889,1145,1159,1331,1869,832,972
"FBgn0037383",283,145,150,207,323,127,147
"FBgn0036352",1,2,5,3,0,1,0
"FBgn0002283",445,257,309,439,541,233,267
"FBgn0000524",1486,869,817,901,1399,550,594
"FBgn0038377",0,0,0,1,0,0,0
"FBgn0034936",1021,557,679,774,1113,410,547
"FBgn0020764",928,570,657,1051,1480,589,737
"FBgn0053645",41,6,7,9,11,12,4
"FBgn0036316",7671,3579,3919,5467,5258,2261,2713
"FBgn0032249",166,73,91,134,163,65,63
"FBgn0033547",231,74,77,156,252,76,71
"FBgn0010516",2531,1398,1544,2375,3291,1301,1690
"FBgn0261261",1533,840,808,1614,1971,907,939
"FBgn0032031",391,199,240,273,428,176,208
"FBgn0029746",29,3,2,2,4,4,5
"FBgn0031023",2928,1998,1970,1851,3367,1618,1603
"FBgn0031993",17821,9403,9314,17122,21513,9724,9696
"FBgn0015584",0,0,0,1,1,0,0
"FBgn0052287",0,0,0,0,0,0,0
"FBgn0001325",0,1,1,2,0,0,0
"FBgn0083956",7,3,1,3,4,1,0
"FBgn0035657",0,0,0,0,0,0,0
"FBgn0085310",0,0,0,0,0,2,0
"FBgn0033933",0,0,0,0,0,0,0
"FBgn0010830",733,351,440,539,932,344,362
"FBgn0031298",1469,753,886,930,1620,641,745
"FBgn0050390",224,119,172,229,272,102,159
"FBgn0031520",0,0,0,1,3,0,0
"FBgn0082973",8,0,0,0,7,1,0
"FBgn0065059",0,0,0,0,0,0,0
"FBgn0028950",2,0,0,1,0,0,0
"FBgn0034649",0,0,0,0,0,0,0
"FBgn0036214",36,9,8,18,41,11,18
"FBgn0052438",1855,599,522,1030,1821,529,544
"FBgn0261260",10109,5961,5691,6558,9716,4447,4281
"FBgn0025381",9359,5690,6045,7596,10982,4851,5557
"FBgn0038034",725,297,349,472,681,248,352
"FBgn0050005",366,140,177,254,330,132,163
"FBgn0035267",71,45,38,39,36,20,10
"FBgn0031980",24781,13176,16109,16353,26727,9570,16418
"FBgn0052289",0,0,0,0,0,0,0
"FBgn0052523",1,1,1,0,2,2,1
"FBgn0034948",2077,914,1003,1535,1884,704,939
"FBgn0004066",5056,2535,2815,1985,4259,1776,2265
"FBgn0024555",4983,2046,2047,3412,5769,1888,1871
"FBgn0039200",0,0,0,0,0,0,0
"FBgn0038078",1,0,0,0,0,0,0
"FBgn0034383",0,0,0,0,0,0,0
"FBgn0037340",280,157,145,180,282,84,124
"FBgn0036578",481,201,178,388,516,170,207
"FBgn0000233",7,1,4,7,20,2,4
"FBgn0025641",1319,816,841,1058,1035,491,498
"FBgn0039404",333,156,176,232,385,116,157
"FBgn0037017",61,18,9,25,70,10,19
"FBgn0030186",4,0,2,1,1,0,2
"FBgn0053728",0,0,0,0,0,0,0
"FBgn0040973",1,1,0,1,1,0,0
"FBgn0033580",1,0,0,0,0,0,0
"FBgn0052379",0,1,0,0,0,0,0
"FBgn0034224",0,0,0,0,0,0,0
"FBgn0031194",1229,567,642,843,1399,550,600
"FBgn0034748",543,258,292,371,614,200,278
"FBgn0259219",2,1,3,1,3,2,1
"FBgn0037518",362,177,193,204,378,110,128
"FBgn0037536",1765,650,741,1029,1649,632,727
"FBgn0032178",85,28,43,88,59,23,34
"FBgn0016054",522,220,248,383,583,212,240
"FBgn0034709",1288,831,839,864,2131,821,1006
"FBgn0031483",1313,545,595,614,1171,396,445
"FBgn0029969",670,331,360,617,773,341,367
"FBgn0039691",4110,2059,2232,3063,4840,1572,2020
"FBgn0035312",263,133,146,289,397,179,212
"FBgn0053534",0,0,0,0,0,0,0
"FBgn0004362",6450,2614,2658,4093,6807,1856,2120
"FBgn0004509",2094,1179,1303,1580,2491,1095,1133
"FBgn0260447",1,0,1,0,1,2,1
"FBgn0005612",1201,595,688,721,1462,498,528
"FBgn0033860",3,2,1,1,2,0,0
"FBgn0034527",603,365,426,445,763,282,333
"FBgn0083059",0,0,0,0,0,0,0
"FBgn0053848",0,0,0,0,0,0,0
"FBgn0039777",0,0,0,0,0,0,0
"FBgn0029974",62,32,26,39,47,19,26
"FBgn0004783",0,0,0,0,0,0,0
"FBgn0031786",0,0,0,0,0,0,0
"FBgn0030073",1444,895,1032,1242,2151,888,993
"FBgn0004872",2272,854,775,1085,1576,563,571
"FBgn0053530",1,1,0,0,0,0,0
"FBgn0035591",392,213,222,304,472,160,200
"FBgn0033301",1,0,1,2,0,1,0
"FBgn0043577",1,0,0,0,1,0,0
"FBgn0036518",4367,2424,2598,3209,6364,2548,2489
"FBgn0051213",41,13,16,28,46,16,11
"FBgn0000053",3265,1954,2069,2253,2882,1281,1575
"FBgn0045500",0,0,0,0,0,0,0
"FBgn0046825",6,4,2,1,16,3,0
"FBgn0000261",2582,1359,1649,2072,3344,1480,1514
"FBgn0050326",4,3,0,0,0,2,2
"FBgn0051641",2787,790,928,1503,3565,967,1084
"FBgn0030735",1878,838,898,1491,2062,864,949
"FBgn0015320",1845,885,917,1187,2132,798,826
"FBgn0036433",60,28,27,46,92,22,22
"FBgn0051367",1029,424,470,736,1501,422,484
"FBgn0032681",126,57,73,32,91,40,37
"FBgn0037609",1112,480,531,829,1133,388,507
"FBgn0050197",2,1,0,0,1,0,1
"FBgn0013323",5,2,3,1,6,5,3
"FBgn0037360",2659,1383,1607,1888,2962,1211,1503
"FBgn0036242",0,0,1,0,1,0,0
"FBgn0042103",0,0,0,0,0,0,0
"FBgn0035059",411,230,265,283,577,203,217
"FBgn0020240",5238,2281,2450,2522,3277,1312,1330
"FBgn0027581",2270,1205,1252,1698,2565,941,1031
"FBgn0040590",4,2,1,4,9,2,3
"FBgn0010774",2515,1278,1188,1685,3097,1149,1238
"FBgn0011915",0,0,0,0,0,0,0
"FBgn0035507",1284,541,501,1036,1532,613,530
"FBgn0040353",1,0,0,0,0,0,0
"FBgn0000404",4292,1849,2014,2988,4150,1538,1674
"FBgn0036751",2,0,1,1,1,1,3
"FBgn0039722",1,0,0,1,0,1,1
"FBgn0040393",0,0,0,1,0,0,0
"FBgn0030949",0,0,0,0,0,0,0
"FBgn0033312",39,22,24,11,26,15,24
"FBgn0035381",1,2,1,0,0,0,0
"FBgn0064237",1,0,2,0,0,0,0
"FBgn0036998",386,99,106,236,322,66,95
"FBgn0031564",0,0,0,1,0,0,0
"FBgn0023169",1008,640,648,997,1437,629,767
"FBgn0040505",40,19,17,18,87,37,30
"FBgn0002989",475,266,286,447,596,226,240
"FBgn0036490",0,0,0,0,0,0,0
"FBgn0040793",2103,973,1059,1465,1940,637,949
"FBgn0259171",1153,730,821,686,1258,560,591
"FBgn0063382",1,0,0,0,1,0,0
"FBgn0036484",1299,699,730,984,1536,523,688
"FBgn0050340",272,76,103,172,257,84,108
"FBgn0037442",3753,1707,2084,2746,4509,1648,1891
"FBgn0260938",3963,2030,2112,2873,5335,2124,2065
"FBgn0032705",602,303,310,518,718,308,277
"FBgn0004174",0,0,0,0,0,0,0
"FBgn0260812",0,0,0,0,1,0,0
"FBgn0029840",1240,836,875,1165,1741,874,875
"FBgn0004009",3,0,2,0,3,0,2
"FBgn0033707",1,1,0,0,0,0,0
"FBgn0030170",370,156,176,362,460,152,149
"FBgn0051427",0,0,0,0,2,1,1
"FBgn0032299",0,0,0,0,1,0,0
"FBgn0011288",81,16,20,23,47,12,11
"FBgn0022153",4379,2156,2381,3416,4610,1823,2019
"FBgn0035138",3,3,2,8,6,1,3
"FBgn0032553",0,0,0,0,0,0,0
"FBgn0029114",2157,828,879,1913,2911,1045,1018
"FBgn0011260",807,243,257,82,253,50,50
"FBgn0011016",3657,1508,1643,1914,2549,871,1163
"FBgn0053410",0,0,0,0,0,0,0
"FBgn0034942",1,0,0,0,1,0,0
"FBgn0085209",2,1,3,2,0,0,0
"FBgn0038381",150,74,79,260,309,121,178
"FBgn0037220",2209,1165,1301,1804,2652,997,1227
"FBgn0038068",7,5,2,0,1,0,1
"FBgn0030263",2524,1443,1611,1727,2629,1015,1450
"FBgn0038578",758,417,482,659,831,318,394
"FBgn0030536",12,0,2,2,6,1,2
"FBgn0045038",2,3,0,2,8,0,2
"FBgn0031094",310,181,204,220,313,118,148
"FBgn0040837",286,158,144,162,421,130,177
"FBgn0035855",27,8,9,20,41,7,13
"FBgn0039308",0,0,0,0,0,0,0
"FBgn0085456",0,0,0,2,0,1,0
"FBgn0016075",57255,39830,35726,31354,50152,22076,23146
"FBgn0039527",37,17,25,33,75,32,35
"FBgn0038213",2,1,1,6,3,1,2
"FBgn0033368",150,71,90,29,92,24,30
"FBgn0027086",5109,1952,2022,4256,5377,2113,2224
"FBgn0086784",1261,729,766,1034,1538,626,786
"FBgn0030314",830,486,547,572,995,409,479
"FBgn0052286",0,0,0,0,0,0,0
"FBgn0033703",0,0,0,0,0,0,0
"FBgn0259954",0,0,0,0,0,0,0
"FBgn0053806",0,0,0,0,0,0,0
"FBgn0052380",1883,919,915,1324,1900,672,822
"FBgn0053147",0,1,2,0,3,0,0
"FBgn0002440",79,29,31,67,40,22,27
"FBgn0039876",559,233,299,304,405,148,162
"FBgn0037778",278,119,114,160,270,78,75
"FBgn0010296",0,0,0,0,0,0,0
"FBgn0035923",986,416,388,661,1179,421,436
"FBgn0034229",3,0,2,1,2,2,1
"FBgn0003983",2,1,3,3,2,1,1
"FBgn0003961",7,3,5,4,4,2,4
"FBgn0014861",2602,1427,1404,1998,2760,1045,1236
"FBgn0010114",7,2,4,5,5,4,4
"FBgn0034013",2733,1432,1560,1586,2289,961,979
"FBgn0038451",0,0,0,0,0,0,0
"FBgn0032497",372,171,193,162,416,139,154
"FBgn0038950",742,385,477,588,859,358,497
"FBgn0036491",1,0,0,2,0,0,1
"FBgn0001989",1251,615,603,860,1600,567,724
"FBgn0022349",4063,1715,1777,2632,5546,1830,1930
"FBgn0015624",9247,5299,4901,6357,12915,6278,5334
"FBgn0004456",5418,2509,2659,5475,6947,2576,2796
"FBgn0032876",976,390,431,564,1004,333,335
"FBgn0036217",0,0,0,0,0,0,0
"FBgn0051740",0,0,0,0,0,0,0
"FBgn0038787",7174,3856,4183,5561,8272,3271,3281
"FBgn0022710",158,81,73,82,231,96,72
"FBgn0036107",302,67,104,170,285,45,112
"FBgn0032635",1207,597,626,531,889,331,398
"FBgn0082997",1,0,0,5,8,1,0
"FBgn0040972",0,0,0,0,0,0,0
"FBgn0026566",1216,667,690,815,1191,447,611
"FBgn0036899",0,1,1,1,1,1,1
"FBgn0038045",9,0,1,3,6,1,1
"FBgn0026878",14,3,8,7,8,5,9
"FBgn0053758",19,2,3,4,4,2,3
"FBgn0260012",3279,1307,1409,2264,3684,1257,1403
"FBgn0011971",0,0,0,1,0,0,0
"FBgn0036115",3,0,2,2,2,1,2
"FBgn0053958",0,0,0,0,0,0,0
"FBgn0033170",65,39,50,30,43,22,30
"FBgn0043900",1774,857,798,1117,2178,853,809
"FBgn0067717",1,1,0,0,2,0,0
"FBgn0037239",822,389,420,1022,1632,604,735
"FBgn0052856",185,45,62,92,186,26,41
"FBgn0051730",0,0,0,0,0,0,0
"FBgn0033614",0,0,0,0,0,0,0
"FBgn0037686",22517,12030,12395,14852,33527,10853,14058
"FBgn0035641",614,176,183,302,516,180,134
"FBgn0036876",0,0,0,1,0,0,0
"FBgn0031531",0,0,0,0,0,0,0
"FBgn0025352",2889,1721,2063,2579,4255,1768,2184
"FBgn0053737",0,0,0,0,0,0,0
"FBgn0051713",125,47,70,64,139,39,63
"FBgn0053836",0,0,0,0,0,0,0
"FBgn0004924",5360,2581,2876,3566,6733,2350,2549
"FBgn0032393",1317,785,807,912,1339,625,715
"FBgn0038272",989,435,508,561,1068,376,468
"FBgn0036428",282,87,99,139,382,116,122
"FBgn0046763",3356,1259,1368,3235,5492,1338,1584
"FBgn0050239",2,3,0,2,1,0,3
"FBgn0033497",4,0,0,0,1,0,0
"FBgn0033592",1,0,1,0,0,0,0
"FBgn0037913",1402,254,219,1023,1141,104,215
"FBgn0037606",409,168,209,334,559,195,222
"FBgn0030048",1313,412,441,923,1307,359,457
"FBgn0030010",111,61,64,83,125,42,58
"FBgn0038767",407,213,282,301,469,146,206
"FBgn0033423",26,15,18,27,60,24,19
"FBgn0086367",25,11,15,6,6,10,2
"FBgn0035584",0,0,0,0,0,0,0
"FBgn0026754",1,0,1,1,0,0,0
"FBgn0029643",8,9,5,5,11,5,5
"FBgn0086054",8,4,1,1,2,2,3
"FBgn0053396",0,0,0,0,0,0,0
"FBgn0035548",0,0,0,1,0,0,0
"FBgn0035851",1218,542,580,835,1166,402,505
"FBgn0039654",1201,697,783,744,1195,505,544
"FBgn0020399",5,1,1,0,5,1,1
"FBgn0004959",2,2,2,1,1,1,0
